SMILES,pIC50,mol,num_atoms,logP,Molecular_Weight,Num_Bonds,TPSA,NumHDoner,NumHAcceptor
CCCCCCCCCCCCCC(=O)OC,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e490>,17,4.8605000000000045,242.40299999999993,16,26.3,0,2
C=CCCCCCCC,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e500>,9,3.5329000000000024,126.243,8,0.0,0,0
CCCCCCCC#N,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e570>,9,2.870480000000001,125.215,8,23.79,0,1
CCCCCCCCCC,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e5e0>,10,4.147000000000004,142.286,9,0.0,0,0
O=C=O,0.9987391101948528,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e650>,3,-0.5835,44.009,2,34.14,0,2
CNC,0.9987391101948528,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e6c0>,3,-0.1644000000000001,45.085,2,12.03,1,1
ClC(Br)Br,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e730>,4,2.2986000000000004,208.28,3,0.0,0,0
CC1(C)C2CCC1(C)C(O)C2,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e7a0>,11,2.1935,154.253,12,20.23,1,1
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,0.24,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e810>,28,0.6204999999999998,394.4390000000002,31,115.06,4,6
CC(=O)OC1CC2CCC1(C)C2(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e880>,14,2.7643000000000013,196.29,15,26.3,0,2
CCC1(c2ccccc2)C(=O)NCNC1=O,0.29,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e8f0>,16,0.5378999999999999,218.25599999999994,17,58.2,2,2
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e960>,15,0.7948999999999999,212.249,15,75.27000000000001,2,3
CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a298e9d0>,25,1.49982,344.31900000000013,27,117.97,2,7
C=C(Br)CC1(C(C)C)C(=O)NC(=O)N(C)C1=O,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a298ea40>,17,1.6356999999999997,303.15600000000006,17,66.48,1,3
CCC1(CC)C(=O)NCC(C)C1=O,0.07,<rdkit.Chem.rdchem.Mol object at 0x7f59a298eab0>,13,1.1278,183.25099999999998,13,46.17,1,2
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298eb20>,24,2.8103000000000007,352.7700000000001,26,71.06,0,6
O=S1(=O)CCCC1,0.64,<rdkit.Chem.rdchem.Mol object at 0x7f59a298eb90>,7,0.195,120.173,7,34.14,0,2
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298ec00>,20,5.619500000000003,697.613,19,44.760000000000005,0,4
CCCCOP(=O)(OCCCC)OCCCC,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298ec70>,17,4.544600000000004,266.3179999999999,16,44.760000000000005,0,4
C=C(C)C#N,0.08,<rdkit.Chem.rdchem.Mol object at 0x7f59a298ece0>,5,1.08608,67.091,4,23.79,0,1
CC(C)N=O,0.07,<rdkit.Chem.rdchem.Mol object at 0x7f59a298ed50>,5,1.1612,73.095,4,29.43,0,2
NC(=O)NO,0.9987391101948528,<rdkit.Chem.rdchem.Mol object at 0x7f59a298edc0>,5,-0.9561000000000002,76.05499999999999,4,75.35000000000001,3,2
ClC(Cl)=C(Cl)Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298ee30>,6,3.0682,165.834,5,0.0,0,0
CC(=O)N(C)C,0.8,<rdkit.Chem.rdchem.Mol object at 0x7f59a298eea0>,6,0.0945,87.122,5,20.310000000000002,0,1
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a298ef10>,27,1.8737,380.45600000000013,30,94.83,3,5
CC(=O)C=CC1C(C)=CCCC1(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298ef80>,14,3.5141000000000027,192.30199999999994,14,17.07,0,1
O=S(=O)(c1ccccc1)c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298eff0>,15,2.519400000000001,218.277,16,34.14,0,2
O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,0.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f060>,13,0.8415000000000001,203.17499999999998,13,97.51,1,4
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f0d0>,18,1.67444,267.31,19,98.22,2,5
Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f140>,17,2.0696,248.30700000000004,18,72.19,2,3
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,0.07,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f1b0>,18,1.16802,264.31,19,97.97,2,5
C=C1CCC2CC1C2(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f220>,10,2.9987000000000013,136.23799999999997,11,0.0,0,0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f290>,28,4.477900000000004,392.5800000000002,31,77.76,3,3
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f300>,16,4.295620000000004,220.356,16,20.23,1,1
CC(C)(C)c1cccc(C(C)(C)C)c1O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f370>,15,3.987200000000004,206.32899999999995,15,20.23,1,1
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f3e0>,18,1.6264,238.246,20,86.18,2,4
c1cc2ccc3cccc4ccc(c1)c2c34,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f450>,16,4.584000000000002,202.25599999999997,19,0.0,0,0
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f4c0>,22,4.697900000000004,287.4060000000001,25,3.24,0,1
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f530>,24,3.493400000000002,324.38000000000005,26,60.85,1,3
O=C1c2ccccc2C(=O)c2c(O)cccc21,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f5a0>,17,2.1676,224.21499999999997,19,54.370000000000005,1,3
O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f610>,23,2.622600000000001,315.19700000000006,25,146.49,0,7
